Designator,Mid X,Mid Y,Rotation,Layer
C1,156.0,-77.5,90.0,bottom
D1,115.0,-89.77,90.0,top
D2,115.0,-106.77,90.0,top
D3,125.0,-106.77,90.0,top
D4,115.0,-98.27,90.0,top
D5,125.0,-98.27,90.0,top
D6,125.0,-89.73,90.0,top
R1,125.8,-94.05,0.0,top
R10,113.5,-85.6,0.0,top
R11,127.5,-82.5,90.0,top
R12,123.5,-85.6,0.0,top
R15,162.0,-80.0,180.0,bottom
R2,113.5,-94.1,180.0,top
R3,123.5,-102.6,180.0,top
R4,113.5,-102.6,180.0,top
R5,85.9,-78.6,90.0,top
R6,131.5,-82.5,270.0,bottom
R7,129.5,-82.5,90.0,bottom
R8,160.5,-77.5,90.0,top
R9,88.4,-78.6,270.0,top
TP1,119.65,-78.7,180.0,top
TP2,77.65,-80.95,270.0,top
U1,103.019,-61.75,270.0,top
U2,159.5,-95.3175,270.0,top
U3,89.69,-86.0,0.0,top
U4,139.5,-90.0,0.0,top
