Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1,C_0603_1608Metric,90.825,-65.675,90,top
D1,RED,151031SS06000,163.55,-134.625,0,top
D2,WHITE,IN-S63BT5UW,103.75,-116,180,top
D3,WHITE,IN-S63BT5UW,123.75,-116,180,top
D4,WHITE,IN-S63BT5UW,143.75,-116,180,top
D5,WHITE,IN-S63BT5UW,163.75,-116,180,top
D6,WHITE,IN-S63BT5UW,183.75,-116,180,top
R1,330,R_0603_1608Metric,163.5,-130.675,90,bottom
R2,100,R_0603_1608Metric,103.75,-114.25,0,top
R3,100,R_0603_1608Metric,123.75,-114.25,0,top
R4,100,R_0603_1608Metric,143.75,-114.25,0,top
R5,100,R_0603_1608Metric,163.75,-114.25,0,top
R6,100,R_0603_1608Metric,183.75,-114.25,0,top
S1,B3F-4055,SW_B3F-4055,103.75,-123.25,0,top
S2,B3F-4055,SW_B3F-4055,123.75,-123.25,0,top
S3,B3F-4055,SW_B3F-4055,143.75,-123.25,0,top
S4,B3F-4055,SW_B3F-4055,163.75,-123.25,0,top
S5,B3F-4055,SW_B3F-4055,183.75,-123.25,0,top
U1,ESP32-S3-DevKitC,ESP32-S3-DevKitC-1-N16R8,100.4,-108.67,0,bottom
U2,"3.5 SPI TFT Display""",3.5_ SPI TFT Display,91.75,-54.75,0,top
